股票代码,股票名称,交易日期,新浪行业,新浪概念,新浪地域,开盘价,最高价,最低价,收盘价,后复权价,前复权价,涨跌幅,成交量,成交额,换手率,流通市值,总市值,是否涨停,是否跌停,市盈率TTM,市销率TTM,市现率TTM,市净率,MA_5,MA_10,MA_20,MA_30,MA_60,MA金叉死叉,MACD_DIF,MACD_DEA,MACD_MACD,MACD_金叉死叉,KDJ_K,KDJ_D,KDJ_J,KDJ_金叉死叉,布林线中轨,布林线上轨,布林线下轨,psy,psyma,rsi1,rsi2,rsi3,振幅,量比
sh600005,武钢股份,2017-01-23,钢铁行业,融资融券；武汉规划；业绩预升；金融参股；央企50；超大盘,,3.720000,3.760000,3.690000,3.710000,20.228119,3.710000,-0.008021,78221626.000000,291606367.000000,0.007749,37447923143.330002,37447923143.330002,0.000000,0.000000,-6.096028,0.429332,33.369011,1.300522,3.730000,3.664000,3.553500,3.545333,3.397833,20日、30日均线金叉；1日、5日均线死叉；,0.084187,0.067852,0.032670,,69.194852,70.975178,65.634199,死叉,3.540000,3.803118,3.276882,50.000000,66.666667,60.948442,62.378229,60.891818,0.018717,1.002182
sh600005,武钢股份,2017-01-20,钢铁行业,融资融券；武汉规划；业绩预升；金融参股；央企50；超大盘,,3.740000,3.770000,3.720000,3.740000,20.391689,3.740000,-0.002667,60314601.000000,225501455.000000,0.005975,37750736538.019997,37750736538.019997,0.000000,0.000000,-6.145322,0.432803,33.638841,1.311039,3.720000,3.649000,3.540000,3.544333,3.388167,,0.084791,0.063768,0.042045,,73.236722,71.865342,75.979483,,3.523000,3.771973,3.274027,58.333333,70.833333,68.096699,65.853800,62.547467,0.013333,0.678366
sh600005,武钢股份,2017-01-19,钢铁行业,融资融券；武汉规划；业绩预升；金融参股；央企50；超大盘,,3.800000,3.850000,3.730000,3.750000,20.446212,3.750000,-0.013158,91996313.000000,348659085.000000,0.009114,37851674336.250000,37851674336.250000,0.000000,0.000000,-6.161753,0.433961,33.728785,1.314544,3.686000,3.628000,3.523000,3.538333,3.378500,,0.081274,0.058512,0.045522,,75.132861,71.179651,83.039280,,3.506500,3.734301,3.278699,66.666667,72.222222,70.389917,66.994369,63.095496,0.031579,1.056003
sh600005,武钢股份,2017-01-18,钢铁行业,融资融券；武汉规划；业绩预升；金融参股；央企50；超大盘,,3.670000,3.800000,3.650000,3.800000,20.718828,3.800000,0.041096,101225432.000000,379449422.000000,0.010028,38356363327.400002,38356363327.400002,0.000000,0.000000,-6.243910,0.439747,34.178502,1.332071,3.642000,3.601000,3.506500,3.527333,3.369167,,0.074584,0.052822,0.043524,,76.588180,69.203047,91.358447,金叉,3.485000,3.674064,3.295936,75.000000,72.222222,81.878857,72.771085,65.860561,0.041096,1.254130
sh600005,武钢股份,2017-01-17,钢铁行业,融资融券；武汉规划；业绩预升；金融参股；央企50；超大盘,,3.670000,3.670000,3.600000,3.650000,19.900980,3.650000,-0.002732,58498779.000000,213115416.000000,0.005796,36842296353.949997,36842296353.949997,0.000000,0.000000,-5.997440,0.422388,32.829350,1.279490,3.602000,3.567000,3.485000,3.516667,3.359333,,0.059870,0.047382,0.024977,,64.882270,65.510480,63.625851,,3.477000,3.652676,3.301324,75.000000,72.222222,69.387564,64.307550,60.939190,0.019126,0.712365
sh600005,武钢股份,2017-01-16,钢铁行业,融资融券；武汉规划；业绩预升；金融参股；央企50；超大盘,,3.680000,3.710000,3.580000,3.660000,19.955503,3.660000,0.025210,132522780.000000,482398313.000000,0.013129,36943234152.180000,36943234152.180000,0.000000,0.000000,-6.013871,0.423546,32.919294,1.282995,3.598000,3.544000,3.477000,3.510000,3.351833,1日、5日均线金叉；,0.055492,0.044259,0.022465,,64.510905,65.824584,61.883547,,3.469500,3.629267,3.309733,75.000000,70.833333,72.150618,65.552731,61.505651,0.036415,1.533778
sh600005,武钢股份,2017-01-13,钢铁行业,融资融券；武汉规划；业绩预升；金融参股；央企50；超大盘,,3.520000,3.620000,3.490000,3.570000,19.464794,3.570000,0.011331,51343971.000000,182822176.000000,0.005087,36034793968.110001,36034793968.110001,0.000000,0.000000,-5.865989,0.413131,32.109803,1.251446,3.578000,3.519000,3.469500,3.502333,3.343667,,0.048078,0.041451,0.013254,,59.924253,66.481424,46.809911,,3.470000,3.640440,3.299560,75.000000,69.444444,60.291498,59.003844,58.150410,0.036827,0.775743
sh600005,武钢股份,2017-01-12,钢铁行业,融资融券；武汉规划；业绩预升；金融参股；央企50；超大盘,,3.590000,3.660000,3.530000,3.530000,19.246701,3.530000,-0.019444,59977312.000000,215136325.000000,0.005942,35631042775.190002,35631042775.190002,0.000000,0.000000,-5.800264,0.408502,31.750029,1.237424,3.570000,3.501000,3.470000,3.494000,3.338167,1日、5日均线死叉；,0.047080,0.039795,0.014571,,64.245354,69.760009,53.216042,死叉,3.474500,3.671407,3.277593,66.666667,66.666667,52.856213,55.561957,56.536862,0.036111,0.877889
sh600005,武钢股份,2017-01-11,钢铁行业,融资融券；武汉规划；业绩预升；金融参股；央企50；超大盘,,3.650000,3.760000,3.600000,3.600000,19.628364,3.600000,-0.008264,108252585.000000,399078113.000000,0.010725,36337607362.800003,36337607362.800003,0.000000,0.000000,-5.915283,0.416602,32.379633,1.261962,3.560000,3.488000,3.474500,3.485667,3.333333,10日、20日均线金叉；10日、30日均线金叉；20日、30日均线死叉；,0.049194,0.037973,0.022441,,75.855210,72.517337,82.530956,,3.484000,3.751698,3.216302,66.666667,63.888889,72.711365,64.209718,60.445345,0.044077,1.713379
sh600005,武钢股份,2017-01-10,钢铁行业,融资融券；武汉规划；业绩预升；金融参股；央企50；超大盘,,3.560000,3.650000,3.550000,3.630000,19.791933,3.630000,0.019663,79917449.000000,288575010.000000,0.007917,36640420757.489998,36640420757.489998,0.000000,0.000000,-5.964577,0.420074,32.649463,1.272479,3.532000,3.467000,3.484000,3.475333,3.329000,,0.044049,0.035168,0.017761,,83.295010,70.848401,108.188229,,3.486000,3.786300,3.185700,75.000000,59.722222,83.977714,68.391516,62.211743,0.028090,1.623450
