指数代码,交易日期,开盘价,收盘价,最低价,最高价,成交量,成交额,涨跌幅
sh000001,1990-12-31,96.050000,127.610000,95.790000,127.610000,1884000.000000,939300.000000,0.276355
sh000001,1991-01-31,127.610000,129.970000,127.610000,135.190000,67197000.000000,36383800.000000,0.018494
sh000001,1991-02-28,129.500000,133.010000,128.060000,134.870000,50982000.000000,30284500.000000,0.023390
sh000001,1991-03-29,132.530000,120.190000,120.110000,132.530000,24528000.000000,17260400.000000,-0.096384
sh000001,1991-04-30,120.690000,113.940000,113.890000,122.200000,70671000.000000,36485600.000000,-0.052001
sh000001,1991-05-31,113.040000,114.830000,104.960000,114.830000,76786000.000000,39475100.000000,0.007811
sh000001,1991-06-28,115.900000,137.560000,114.890000,137.560000,77828000.000000,46400600.000000,0.197945
sh000001,1991-07-31,136.640000,143.800000,131.870000,143.800000,160132000.000000,85974400.000000,0.045362
sh000001,1991-08-30,145.120000,178.430000,143.800000,178.430000,80814000.000000,44313100.000000,0.240821
sh000001,1991-09-30,180.080000,180.920000,178.430000,191.180000,286133000.000000,194113200.000000,0.013955
sh000001,1991-10-31,181.550000,218.600000,179.800000,218.600000,223443000.000000,149545400.000000,0.208269
sh000001,1991-11-29,220.710000,259.600000,218.600000,259.850000,96270000.000000,80226300.000000,0.187557
sh000001,1991-12-31,261.780000,292.750000,259.670000,292.750000,43666000.000000,46677800.000000,0.127696
sh000001,1992-01-31,293.740000,313.240000,292.760000,313.240000,16905000.000000,22702900.000000,0.069991
sh000001,1992-02-28,314.180000,364.660000,313.240000,364.670000,108287000.000000,165702700.000000,0.164155
sh000001,1992-03-31,365.150000,381.240000,364.660000,382.060000,161441000.000000,346821400.000000,0.045467
sh000001,1992-04-30,381.550000,445.380000,381.010000,448.940000,510611000.000000,804950800.000000,0.168240
sh000001,1992-05-29,454.860000,1234.710000,439.960000,1429.010000,1073313000.000000,2085243500.000000,1.772262
sh000001,1992-06-30,1175.690000,1191.190000,1033.470000,1249.580000,794087000.000000,1824862600.000000,-0.035247
sh000001,1992-07-31,1199.540000,1052.070000,961.610000,1215.240000,1388425000.000000,2692488600.000000,-0.116791
sh000001,1992-08-31,1034.700000,823.270000,627.360000,1060.360000,2040679000.000000,2862577300.000000,-0.217476
sh000001,1992-09-30,826.960000,702.320000,595.420000,832.840000,2089985000.000000,2734145200.000000,-0.146914
